"ProbeID" "X" "Y" "Z" "hemi" "rgbx" "rgby" "rgbz" "moda" "ROINb" "ROIlabel" "SumR2_ADNI1" "SumR2_ADNI2GO3" "SumR2_AIBL" "SumR2_UKB" "SumR2_AVERAGE"
"LogJacs_10_1079" 140.700577 96.789536 109.389755 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 1080.84333673779 766.478568422883 899.981621236785 452.67904227353 799.995642167747
"LogJacs_10_108" 148.597549 111.102531 97.56575 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 545.963978015082 536.196190493862 658.421898181546 511.290334298412 562.968100247225
"LogJacs_10_1080" 140.646576 96.645531 110.094757 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 1105.53700651446 806.355303490877 893.025250537184 440.908763538953 811.456581020369
"LogJacs_10_1081" 139.854568 96.71553 109.242752 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 997.420203417975 650.202218080264 831.392733466957 421.787040016167 725.200548745341
"LogJacs_10_1082" 138.855576 96.712532 109.409744 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 947.754366186687 568.381508673928 810.022897726031 419.441600312595 686.40009322481
"LogJacs_10_1083" 142.564575 98.300529 109.394745 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 994.153138106172 692.646117582834 895.417374750068 455.121193333252 759.334455943081
"LogJacs_10_1084" 138.219574 96.814529 109.313751 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 903.724598125472 522.881691316723 803.921758681282 421.027913520142 662.888990410905
"LogJacs_10_1085" 138.099579 97.040535 108.686752 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 889.020333287614 517.998247348656 818.055522534448 434.990280314324 665.016095871261
"LogJacs_10_1086" 137.49057 96.871536 109.486755 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 883.826819471037 517.421278478239 817.271871771436 446.627720165189 666.286922471475
"LogJacs_10_1087" 136.957581 97.214531 108.777756 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 865.259206605583 519.768677707691 832.219482510503 478.890417266893 674.034446022667
"LogJacs_10_1088" 136.728577 96.940529 109.722763 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 798.09950838262 468.275562919077 767.81582491665 432.583418902583 616.693578780232
"LogJacs_10_1089" 135.738571 97.487534 109.048752 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 788.146901963945 509.166993279575 756.18816046154 485.473981178041 634.744009220775
"LogJacs_10_109" 146.744537 110.832535 97.197754 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 506.007427048307 519.286282388361 645.494564448466 377.061761121083 511.962508751554
"LogJacs_10_1090" 134.817581 98.016533 108.879761 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 770.684539855025 566.324469874487 746.947014725497 527.213970201442 652.792498664113
"LogJacs_10_1091" 133.817581 98.662529 108.819763 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 747.604632979804 642.427759314503 799.067108312632 565.535646809966 688.658786854226
"LogJacs_10_1092" 133.036575 99.146523 108.811752 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 688.686150552436 637.333621026436 797.10906934611 541.317453980254 666.111573726309
"LogJacs_10_1093" 143.651581 99.144531 108.935745 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 787.820042321209 555.119997822572 781.720082030724 407.655602388991 633.078931140874
"LogJacs_10_1094" 132.371567 99.556526 108.72876 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 685.968071120049 652.216541220086 812.452222141172 545.646331805796 674.070791571776
"LogJacs_10_1095" 144.519577 99.987534 109.159744 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 550.055321357292 418.310247873941 623.078360651337 362.556932323349 488.50021555148
"LogJacs_10_1096" 131.62558 100.245522 108.262756 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 701.152545011779 674.019901438307 802.22821788865 524.981468597539 675.595533234069
"LogJacs_10_1097" 145.131577 100.583534 108.351746 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 505.271833869198 408.766727503235 615.117269654945 377.99421211899 476.787510786592
"LogJacs_10_1098" 130.749573 100.927528 108.294754 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 703.883342415276 652.052694294902 745.415493508227 468.493912780387 642.461360749698
"LogJacs_10_1099" 130.163574 101.471527 108.482758 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 707.662824242129 632.49054849881 708.562274522337 422.341062825741 617.764177522254
"LogJacs_10_11" 142.633545 113.762535 96.044861 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 513.559198161563 457.015479523289 693.733365575577 389.296174076618 513.401054334262
