"V1" "b_ADNI1" "se_ADNI1" "t_ADNI1" "pval_ADNI1" "b_ADNI2GO3" "se_ADNI2GO3" "t_ADNI2GO3" "pval_ADNI2GO3" "b_AIBL" "se_AIBL" "t_AIBL" "pval_AIBL" "b_ARWIBO" "se_ARWIBO" "t_ARWIBO" "pval_ARWIBO" "b_OASIS" "se_OASIS" "t_OASIS" "pval_OASIS" "TE.random" "seTE.random" "pval.random" "Q" "pval.Q" "TE.fixed" "seTE.fixed" "pval.fixed"
"L_middletemporal_surfavg" -0.0921718777146067 0.0340500733209693 -2.70695093210986 0.00712724653482379 -0.0760996617022281 0.0185766477275214 -4.09652283977404 4.68745958356203e-05 -0.0566857618085984 0.0222011843038197 -2.55327648439213 0.0109666356539899 -0.0275226398206135 0.0151146229131748 -1.82092798336525 0.0689785942575185 -0.101147561439477 0.0199077797737569 -5.08080572464503 4.49499816193188e-07 -0.0672895377517764 0.0146352412271689 4.27027976006334e-06 10.4874613926062 0.0329701449800305 -0.0623120512829895 0.00887718855627087 2.22910357441742e-12
"L_middletemporal_thickavg" -0.207012575449767 0.0351736117830648 -5.88545119354045 9.38300346435161e-09 -0.133833117621799 0.0195047369232224 -6.86156999443845 1.50737458615665e-11 -0.0771208258318697 0.0230708160197076 -3.34278708503382 0.000891461689412044 -0.0849538946998515 0.0197029855144942 -4.31172700387749 1.81492020143676e-05 -0.102522407443959 0.0187971225775662 -5.45415432712646 6.22327833426623e-08 -0.115736977800423 0.0196205848470825 3.66259705218292e-09 12.9016007420452 0.0117667336387402 -0.109403857152736 0.0096575438358082 9.49972008995705e-30
"L_paracentral_surfavg" 0.0572044726546142 0.031096395968322 1.83958529190613 0.0666856877424161 0.0380510664124393 0.0168798483580063 2.25423034647057 0.0244918673133994 0.0555794474280093 0.0194649115472856 2.85536604124769 0.0044770544480453 0.0376043846980924 0.0119791486914636 3.13915334608789 0.00175444614855987 0.020564761119075 0.0168036069418202 1.22383016874158 0.22130896052277 0.0381092265967913 0.007517877599202 3.99602543168057e-07 2.27453654522738 0.685408843366635 0.0381092265967913 0.007517877599202 3.99602543168057e-07
"L_paracentral_thickavg" 0.109126436169878 0.0293271674336896 3.7210015735962 0.000231494010853596 0.0839147307936503 0.0163319266222032 5.13807909714512 3.60887799487872e-07 0.0384003198597222 0.0204994704661778 1.87323472199339 0.0616179828659374 0.109502360748912 0.0161494354448705 6.78056896308986 2.27539289033915e-11 0.0633670362020723 0.0155922713794652 4.06400290630688 5.20792498847305e-05 0.0795987348991733 0.0130642241107602 1.10897984150148e-09 9.63499626312327 0.0470460750837088 0.0796229436729987 0.00810070450752674 8.43374233635371e-23
"L_parahippocampal_surfavg" -0.0675538891912275 0.0267101856899479 -2.52914337531733 0.0118777990857416 -0.0392155971547955 0.0147707667953387 -2.65494660488249 0.00811347073899772 -0.0449207772645457 0.0184205145940016 -2.43862770691398 0.0150894354065963 -0.00434613095327202 0.0100427754477537 -0.43276193676561 0.665300424337306 -0.0448233857004693 0.0149455233101799 -2.99911784754561 0.00277568750725656 -0.0350471425717264 0.0109193410180168 0.00132901779804137 10.4275853891927 0.0338092364792936 -0.027892983937997 0.00654782594473729 2.04532332015823e-05
"L_parahippocampal_thickavg" -0.131357544807961 0.0222278217532275 -5.90960042177266 8.21509803879491e-09 -0.0713063233308846 0.0132913963517176 -5.36484816523206 1.10413980965706e-07 -0.0403626961815064 0.016056607120832 -2.51377491382594 0.0122571481748952 -0.0398883922643857 0.0103126562855774 -3.86790669249502 0.000118386665971824 -0.0121671332599351 0.0132414452345124 -0.918867468350263 0.358389848318568 -0.0567117851467887 0.0189592032171639 0.00277834642072604 25.3028250165964 4.37259193496547e-05 -0.0476392233836032 0.00612340316439414 7.26044725624757e-15
"L_parsopercularis_surfavg" 0.0410984852211014 0.0246715170378488 1.66582724353966 0.0966528836946638 0.0170413336626971 0.0160386378095858 1.0625175195684 0.288369329847502 0.0407654287244478 0.0171077383483271 2.38286487053002 0.0175503668120856 -0.00381132397905254 0.0101732453163702 -0.374641902414325 0.708022735517828 0.012990132454281 0.0148914624419807 0.87232080159302 0.383245975984179 0.01670315988595 0.00916097607722265 0.0682587560890121 6.7239840118521 0.151213403631264 0.0127517331132868 0.00657682958312173 0.0525150301196696
"L_parsopercularis_thickavg" 0.0702790582579412 0.031628987911435 2.22198251979264 0.0269308041917897 0.0666124676975986 0.0180037553040825 3.6999207427849 0.000232686928400111 0.0388203848614389 0.0194742229695957 1.99342407253155 0.0467568234111336 0.0164157811102059 0.0186275650657757 0.881262851706071 0.378431302331674 0.0415078928045545 0.0167414186756122 2.47935336955765 0.0133284603805601 0.0437210993705037 0.00948524792747079 4.03874166272036e-06 4.55082423938527 0.336563506721585 0.0435433501436302 0.00871331503511544 5.81281779363008e-07
"L_parsorbitalis_surfavg" 0.0300771841049415 0.0303431825409371 0.991233667212175 0.322264176561092 -0.0149134452640065 0.017363739739069 -0.858884404403431 0.390699994336077 0.0290045541634115 0.019005588771785 1.52610658431538 0.127614345165512 0.0220393551186617 0.0119806462959809 1.83957981682967 0.0661877876585465 -0.0216998952604239 0.0165648347951479 -1.30999768659209 0.190502039164949 0.00697186538401377 0.0113409688530434 0.53871955557648 8.07900367236225 0.0887266839667039 0.00775835119657016 0.0074989774730621 0.300861417140393
"L_parsorbitalis_thickavg" -0.0066279982022547 0.0273133438108532 -0.242665205994332 0.808408547072288 0.0327139987865294 0.0146262150850519 2.23666878931402 0.025623962270124 0.0837868740517536 0.0178446164274429 4.69535864737889 3.4406684020052e-06 -0.0036836312917833 0.0124025334584921 -0.297006357943835 0.766536146124539 -0.0112129645018317 0.0134264008060937 -0.835142989083314 0.403839719355778 0.0191760622963818 0.0178919388277555 0.283822873360181 23.0336498065024 0.000124681113565285 0.0151395389779092 0.00686743908435978 0.0274864430888136
